タイムスタンプ,ニックネーム（匿名可）,ニックネームの読み（匿名可）,問題名1（AOJ/AtCoder-JOIのもの）,問題の出典1（AOJ/AtCoder-JOIのもの）,印象に残っている理由1,問題名2（AOJ/AtCoder-JOIのもの）,問題の出典2（AOJ/AtCoder-JOIのもの）,印象に残っている理由2,問題名3（AOJ/AtCoder-JOIのもの）,問題の出典3（AOJ/AtCoder-JOIのもの）,印象に残っている理由3
2026/03/16 22:55:02,blue_jam,ぶるーじゃむ,ビンゴ,09予選6,解説を読んでも全然わからなかったので、高専の先生に相談した。しかし、先生は1時間悩んだ結果匙を投げた。,パーティ,10予選3,この問題だけ間違えて、予選満点を逃した。問題文中の「入力例 2 において，あなたには友達はいない．」がシュールで面白い。,方向音痴のトナカイ,10予選6,頑張って枝刈りをして、ローカルで長時間動かしたら10分ぐらいで答えが出た。残ったコンテスト時間を全部使って、全ケース正解を出すことができた。
2026/03/17 0:25:28,rh,あーるえっち,財宝,15予選6,単純な全探索が想定解法でびっくり,Mountain Rescue Team,13春合宿3-3,単調性を使ってジグザグ動くのが面白い,Sengoku,10春合宿1-2,グリッドの性質を抑えていますか？という問題で、聞いていることは以外にもかんたん
2026/03/17 0:34:20,river0525,りばー,交易計画,22二次予選5,UnionFIndにundo機能を実装するという発想が新鮮だったから。今までACLに頼りっぱなしだったUnionFindを自力実装する必要が生じ、難易度9のレベルを感じる問題だった。,じゃんけん式,20二次予選5,再帰下降法を用いた構文解析を初めて使った問題で、競プロのみならず電卓の実装などにも使えそうだと思ったから。,Origami,08春合宿3-1,典型のアルゴリズムが嘘解法となっており、問題の性質に注目することが大切という競プロの本質をとらえたような問題構造だと思ったから。
2026/03/17 0:34:48,tatyam,たちゃむ,インターカステラー,22本選1,問題文のセンスが天才的,,,,,,
2026/03/17 0:43:19,Yoyoyo8128,よよよ,ミ・テレフェリコ,25本選3,圧倒的トラウマ,川下り,26本選4,本番死ぬほど焦ったから,宣伝 2,23本選2,中1で通せて嬉しかった
2026/03/17 2:17:20,匿名,,Conference,https://atcoder.jp/contests/joisp2025/tasks/joisp2025_h,考察をすると見えてくるが、まず場合分けがとてつもなく多く、証明のステップ数も多い。さらに、場合分けをした後に出てくる部分問題もかなり難しく、もちろん実装も重い。スライドもありえない枚数と密度でびっくりしてしまった,川下り,https://atcoder.jp/contests/joi2026sf/tasks/joi2026_semifinal_d,史上初のセミファイナル、D 問題には旧本選 C 問題と同じくらいの難易度の問題がでて解けないとファイナル進出が厳しくなる、と多くの人が思っていたところで実装をバグらせやすいこの問題が来て、競技中のダメージが大きかった,,,
2026/03/17 7:46:03,かなた,かなた,往復すごろく,https://atcoder.jp/contests/joi2021yo2/tasks/joi2021_yo2_a,ピ太郎のいる位置より前の#はstack 後ろの#はqueueに突っ込むと次行く場所を表せられる　データ構造を駆使してる感が気持ち良い,タイル,https://atcoder.jp/contests/joi2011yo/tasks/joi2011yo_c,難易度4の中では珍しい全探索方針が通らないから　実際にタイルを作ろうとすると配列のサイズが大きすぎてREになる,,,
2026/03/17 10:59:28,究,きゅう,距離,26一次予選2-4,検索でabs関数を知りギリギリで4完取れた達成感で競プロを始めるきっかけになったから,葵とIOI,26一次予選2-3,距離(26一次予選2-4)と合わせて「稚拙なコードでも結果が同じなら正解」という競プロの明快さで競プロにハマるきっかけになったから,,,
2026/03/17 12:08:06,,,Uiro,25春トレ4-3,これで100点を取って代表になった,Collecting Stamps 4,25春トレ2-2,全員 100 点を取っていたのに自分だけ 0 点を取ってしまった,Ramen,14春合宿1-4,初めて解いた Communication Task
2026/03/17 12:36:54,Rho17,ろー,毒蛇の脱走,18本選5,初の本選の最終問題。解説のDEGwerさんが面白かった,スタンプラリー 3,20本選3,解法まで分かっていたのにDPの遷移が一生合わず。これを通せていたら春進出だったことがずっと頭から離れない。,,,
2026/03/17 13:12:56,yuma220284,,火事,20本選5,解法がカッコいい,Naan,19春合宿1-3,ギャグ,サッカー,17本選4,問題設定も解法も面白い
2026/03/17 14:58:52,hirayuu_At,ひらゆうあっと,Navigation,https://atcoder.jp/contests/joisc2015/tasks/joisc2015_j,初めて知ったときの衝撃,Ambulance,https://atcoder.jp/contests/joisp2025/tasks/joisp2025_d,解けたし他の人が解けていなかったから,奇妙な機械,https://atcoder.jp/contests/joi2026sf/tasks/joi2026_semifinal_f,解けたし他の人が解けていなかったから
2026/03/18 8:06:03,Lqd0f,らどえふ,おせんべい,https://atcoder.jp/contests/joi2008yo/tasks/joi2008yo_e,応用的なbit全探索を自力実装できて嬉しかったから,,,,,,
2026/03/20 13:29:38,Tyson8331,たいそん,ミ・テレフェリコ,25本選3,この問題に時間をかけて本戦に落ちたから,,,,,,
2026/03/22 15:00:08,manybear,めにーべあー,衣服,26本選3,最後の小課題だけ通せず満点を逃したのがとても悔しくて、印象に残っています。,ビ太郎の旅 3,26二次予選5,コンテスト終了間際に滑り込みで正解できたことがとても印象に残っています。,Candies,18春合宿4-1,とある競技プログラミング系サーバーで、競プロ問題アキネーターをしていて、僕が問題を当てる側の人のうちの一人としてプレイしていました。その時に、僕がもう少しで問題が確定しそうところまで絞ったところを、ある他の解答者にかっさらわれたときの問題がこれでした。いつか耳に飴をつめこんであげます。
2026/03/24 18:18:37,,,マスキングテープ,25二次予選1,初参加の二次予選で唯一解けた問題だったから。,,,,,,
